,~によると,,-1,複助,根据~(表示信息的出处),新聞によると(しんぶんによると):据报纸,,,
,~そうだ,,-1,助動,听说~(表示传闻),,,,
,~ようだ,,-1,助動,好像~(表示推测),,,,
,きびしい,厳しい,3,イ形,严厉、严格,,,,
します,する,,0,動Ⅲ,有(声音、味道等),音がします(おとがします):有声音。声がします(こえがします):有声音。味がします(あじがします):有味道。匂いがします(においがします):有气味。,自他,,
集まります,あつまる,集まる,3,動Ⅰ,聚集,人が集まります(ひとがあつまります):聚集了好多人。,自,,
,パトカー,,3|2,名,警车(「パトロールカ一」的略称),,,,
,きゅうきゅうしゃ,救急車,3,名,急救车,,,,
婚約します,こんやくする,婚約する,0,動Ⅲ,订婚,,自,,
,どうも,,1,副,有点儿、总觉得(在讲述自己的推测时使用),どうも~ようだ:总觉得好像~,,,
,こいびと,恋人,0,名,恋人,,,,
,あいて,相手,3,名,对方,,,,
知り合います,しりあいます,知り合う,3,動Ⅰ,认识,,自,,
,ひどい,,2,イ形,严重、厉害,ひどい事故(ひどいじこ):严重的事故,,,
,じんこう,人口,0,名,人口,,,,
,かがく,科学,1,名,科学,,,,
,いがく,医学,1,名,医学,,,,
,じっけん,実験,0,名,实验,,,,
,デ一夕,,1|0,名,数据,data,,,
,だいとうりょう,大統領,3,名,总统,,,,
,こわい,怖い,2,イ形,害怕、可怕,,,,
,さんせい,賛成,0,名,赞成,,,,
,はんたい,反対,0,名,反对,,,,
,ぶんがく,文学,1,名,文学,日本文学(にほんぶんがく):日本文学,,,
別れます,わかれる,別れる,3,動Ⅱ,分手、分别,人が別れます(ひとがわかれます):与人分手。,自,,
,におい,匂い,2,名,气味,,,,
燃えます,もえる,燃える,0,動Ⅱ,燃烧,ごみが燃えます(ごみがもえます):垃圾燃烧。,自,,
吹きます,ふく,吹く,1|0,動Ⅰ,刮(风),風が吹きます(かぜがふきます):刮风。,自他,,
亡くなります,なくなる,亡くなる,0,動Ⅰ,去世(「しにます」的婉转说法),,自,,
,けしょう,化粧,2,名,化妆(~をします:化妆),,,,
世話をします,せわをする,世話をする,-1,動Ⅲ,照顾、照料,,他,,
,じょせい,女性,0,名,女性,,,,
,だんせい,男性,0,名,男性,,,,
,ながいき,長生き,3|4,名,长寿,,,,
,りゆう,理由,0,名,理由,,,,
,かんけい,関係,0,名,关系,,,,